#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#             [km/s]               [mJy]               [mJy]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              5699.1               1.268                       |         1.39390736e+09      1.26800000e-29                    
              5707.8              0.8551                       |         1.39386766e+09      8.55100000e-30                    
              5716.5              0.2021                       |         1.39382797e+09      2.02100000e-30                    
              5725.2             -0.2219                       |         1.39378828e+09     -2.21900000e-30                    
              5733.9             -0.2449                       |         1.39374859e+09     -2.44900000e-30                    
              5742.6             -0.0209                       |         1.39370891e+09     -2.09000000e-31                    
              5751.3              0.5401                       |         1.39366922e+09      5.40100000e-30                    
                5760               1.095                       |         1.39362954e+09      1.09500000e-29                    
              5768.7               1.301                       |         1.39358986e+09      1.30100000e-29                    
              5777.4               1.289                       |         1.39355018e+09      1.28900000e-29                    
              5786.1              0.9711                       |         1.39351051e+09      9.71100000e-30                    
              5794.8              0.1471                       |         1.39347083e+09      1.47100000e-30                    
              5803.5             -0.9379                       |         1.39343116e+09     -9.37900000e-30                    
              5812.2              -1.406                       |         1.39339149e+09     -1.40600000e-29                    
              5820.9             -0.7709                       |         1.39335183e+09     -7.70900000e-30                    
              5829.6              0.2171                       |         1.39331216e+09      2.17100000e-30                    
              5838.4              0.8271                       |         1.39327205e+09      8.27100000e-30                    
              5847.1               1.195                       |         1.39323239e+09      1.19500000e-29                    
              5855.8               1.509                       |         1.39319273e+09      1.50900000e-29                    
              5864.5               1.541                       |         1.39315308e+09      1.54100000e-29                    
              5873.2               1.034                       |         1.39311342e+09      1.03400000e-29                    
              5881.9              0.3761                       |         1.39307377e+09      3.76100000e-30                    
              5890.6              0.4791                       |         1.39303412e+09      4.79100000e-30                    
              5899.3               1.206                       |         1.39299448e+09      1.20600000e-29                    
                5908               1.412                       |         1.39295484e+09      1.41200000e-29                    
              5916.7               1.082                       |         1.39291519e+09      1.08200000e-29                    
              5925.4              0.7391                       |         1.39287556e+09      7.39100000e-30                    
              5934.1              0.0621                       |         1.39283592e+09      6.21000000e-31                    
              5942.8             -0.6809                       |         1.39279628e+09     -6.80900000e-30                    
              5951.6             -0.6279                       |         1.39275620e+09     -6.27900000e-30                    
              5960.3              0.0041                       |         1.39271657e+09      4.10000000e-32                    
                5969              0.5061                       |         1.39267694e+09      5.06100000e-30                    
              5977.7              0.8521                       |         1.39263731e+09      8.52100000e-30                    
              5986.4                1.22                       |         1.39259769e+09      1.22000000e-29                    
              5995.1               1.291                       |         1.39255807e+09      1.29100000e-29                    
              6003.8              0.9441                       |         1.39251845e+09      9.44100000e-30                    
              6012.5              0.8421                       |         1.39247883e+09      8.42100000e-30                    
              6021.3              0.9231                       |         1.39243876e+09      9.23100000e-30                    
                6030              0.2991                       |         1.39239915e+09      2.99100000e-30                    
              6038.7             -0.4409                       |         1.39235954e+09     -4.40900000e-30                    
              6047.4             -0.2619                       |         1.39231993e+09     -2.61900000e-30                    
              6056.1              0.1791                       |         1.39228033e+09      1.79100000e-30                    
              6064.8              0.1371                       |         1.39224073e+09      1.37100000e-30                    
              6073.6             -0.2449                       |         1.39220067e+09     -2.44900000e-30                    
              6082.3             -0.5389                       |         1.39216107e+09     -5.38900000e-30                    
                6091             -0.3499                       |         1.39212148e+09     -3.49900000e-30                    
              6099.7              0.0181                       |         1.39208188e+09      1.81000000e-31                    
              6108.4              0.1821                       |         1.39204229e+09      1.82100000e-30                    
              6117.2              0.6231                       |         1.39200225e+09      6.23100000e-30                    
              6125.9               1.522                       |         1.39196266e+09      1.52200000e-29                    
              6134.6               1.581                       |         1.39192307e+09      1.58100000e-29                    
              6143.3              0.1571                       |         1.39188349e+09      1.57100000e-30                    
                6152             -0.8209                       |         1.39184391e+09     -8.20900000e-30                    
              6160.8             -0.2059                       |         1.39180388e+09     -2.05900000e-30                    
              6169.5              0.5231                       |         1.39176430e+09      5.23100000e-30                    
              6178.2              0.4211                       |         1.39172473e+09      4.21100000e-30                    
              6186.9               0.095                       |         1.39168516e+09      9.50000000e-31                    
              6195.7              0.0051                       |         1.39164513e+09      5.10000000e-32                    
              6204.4              0.0541                       |         1.39160557e+09      5.41000000e-31                    
              6213.1               -0.09                       |         1.39156600e+09     -9.00000000e-31                    
              6221.8             -0.4729                       |         1.39152644e+09     -4.72900000e-30                    
              6230.6             -0.4429                       |         1.39148643e+09     -4.42900000e-30                    
