#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             6571.92         1.49727e-15         3.35139e-17   |         4.56171802e+14      2.15706859e-29      4.82823946e-31
             6574.67         1.45242e-15         3.30909e-17   |         4.55980998e+14      2.09420617e-29      4.77128978e-31
             6577.42         1.44583e-15         3.30103e-17   |         4.55790354e+14      2.08644853e-29      4.76365078e-31
             6580.17         1.50767e-15         3.35692e-17   |         4.55599869e+14      2.17750829e-29      4.84835615e-31
             6582.92         1.40225e-15         3.23332e-17   |         4.55409543e+14      2.02694469e-29      4.67374635e-31
             6585.67         1.36341e-15         3.18341e-17   |         4.55219376e+14      1.97244863e-29      4.60544714e-31
             6588.42         1.30925e-15         3.13398e-17   |         4.55029368e+14      1.89567740e-29      4.53772393e-31
             6591.17         1.31185e-15          3.1356e-17   |         4.54839519e+14      1.90102795e-29      4.54386037e-31
             6593.92         1.32118e-15         3.14281e-17   |         4.54649827e+14      1.91614616e-29      4.55810966e-31
             6596.67         1.34296e-15         3.16653e-17   |         4.54460294e+14      1.94935928e-29      4.59634290e-31
             6599.42         1.41383e-15         3.23625e-17   |         4.54270919e+14      2.05394129e-29      4.70146163e-31
             6602.17         1.40222e-15         3.23281e-17   |         4.54081702e+14      2.03877293e-29      4.70037905e-31
             6604.92         1.45899e-15         3.30108e-17   |         4.53892642e+14      2.12308183e-29      4.80364018e-31
             6607.67         1.44301e-15          3.2887e-17   |         4.53703740e+14      2.10157710e-29      4.78961102e-31
             6610.42         1.44962e-15         3.29568e-17   |         4.53514995e+14      2.11296146e-29      4.80377259e-31
             6613.17         1.37809e-15         3.21219e-17   |         4.53326406e+14      2.01037119e-29      4.68597422e-31
             6615.92         1.38561e-15         3.21411e-17   |         4.53137975e+14      2.02302288e-29      4.69267548e-31
             6618.67         1.46274e-15         3.29916e-17   |         4.52949700e+14      2.13741026e-29      4.82085568e-31
             6621.42         1.44121e-15         3.28778e-17   |         4.52761581e+14      2.10770019e-29      4.80821985e-31
             6624.17         1.44637e-15         3.30438e-17   |         4.52573619e+14      2.11700381e-29      4.83651144e-31
             6626.92         1.47709e-15         3.34583e-17   |         4.52385813e+14      2.16376310e-29      4.90124737e-31
             6629.67         1.44691e-15         3.31885e-17   |         4.52198162e+14      2.12131243e-29      4.86576066e-31
             6632.42         1.45209e-15         3.33089e-17   |         4.52010667e+14      2.13067333e-29      4.88746462e-31
             6635.17         1.43749e-15         3.32549e-17   |         4.51823328e+14      2.11100002e-29      4.88358837e-31
             6637.92         1.50874e-15         3.39779e-17   |         4.51636144e+14      2.21746987e-29      4.99390018e-31
             6640.67         1.51963e-15         3.42469e-17   |         4.51449114e+14      2.23532643e-29      5.03760788e-31
             6643.42         1.50781e-15         3.42006e-17   |         4.51262240e+14      2.21977693e-29      5.03496482e-31
             6646.17         1.47706e-15         3.39889e-17   |         4.51075520e+14      2.17630783e-29      5.00794207e-31
             6648.92         1.47315e-15         3.40301e-17   |         4.50888955e+14      2.17234341e-29      5.01816268e-31
             6651.67         1.50895e-15         3.43845e-17   |         4.50702544e+14      2.22697599e-29      5.07461851e-31
             6654.42         1.59111e-15         3.52754e-17   |         4.50516287e+14      2.35017346e-29      5.21040713e-31
             6657.17         1.65674e-15         3.60043e-17   |         4.50330184e+14      2.44913626e-29      5.32246681e-31
             6659.92         1.63811e-15         3.59945e-17   |         4.50144234e+14      2.42359686e-29      5.32541510e-31
             6662.67         1.53915e-15         3.50709e-17   |         4.49958439e+14      2.27906572e-29      5.19305370e-31
             6665.42         1.47402e-15         3.43977e-17   |         4.49772796e+14      2.18442789e-29      5.09757637e-31
             6668.17         1.42919e-15         3.39733e-17   |         4.49587307e+14      2.11973998e-29      5.03883754e-31
             6670.92         1.49639e-15         3.46771e-17   |         4.49401970e+14      2.22124037e-29      5.14746653e-31
             6673.67         1.62882e-15         3.60547e-17   |         4.49216786e+14      2.41981322e-29      5.35637085e-31
             6676.42         1.78482e-15          3.7763e-17   |         4.49031755e+14      2.65375618e-29      5.61478438e-31
             6679.17         1.80521e-15          3.8129e-17   |         4.48846876e+14      2.68628459e-29      5.67387424e-31
             6681.92         1.67394e-15         3.68462e-17   |         4.48662150e+14      2.49299683e-29      5.48750014e-31
             6684.67         1.52632e-15           3.526e-17   |         4.48477575e+14      2.27501799e-29      5.25559086e-31
             6687.42         1.46695e-15         3.46494e-17   |         4.48293152e+14      2.18832492e-29      5.16882958e-31
             6690.17         1.46421e-15         3.46422e-17   |         4.48108881e+14      2.18603430e-29      5.17200656e-31
             6692.92         1.39662e-15          3.3842e-17   |         4.47924761e+14      2.08683840e-29      5.05669296e-31
             6695.67         1.41042e-15         3.40819e-17   |         4.47740792e+14      2.10919064e-29      5.09672470e-31
             6698.42         1.38648e-15         3.38932e-17   |         4.47556975e+14      2.07509343e-29      5.07267011e-31
             6701.17         1.39407e-15         3.41056e-17   |         4.47373308e+14      2.08816662e-29      5.10865131e-31
             6703.92         1.45561e-15          3.4919e-17   |         4.47189792e+14      2.18213679e-29      5.23478368e-31
             6706.67         1.48995e-15         3.52117e-17   |         4.47006426e+14      2.23544951e-29      5.28299456e-31
             6709.42         1.41518e-15         3.42484e-17   |         4.46823211e+14      2.12500979e-29      5.14268046e-31
             6712.17         1.43633e-15         3.44984e-17   |         4.46640146e+14      2.15853662e-29      5.18446735e-31
             6714.92          1.4352e-15         3.45266e-17   |         4.46457231e+14      2.15860614e-29      5.19295782e-31
             6717.67         1.43923e-15         3.47537e-17   |         4.46274466e+14      2.16644082e-29      5.23139695e-31
             6720.42         1.42123e-15         3.46398e-17   |         4.46091850e+14      2.14109774e-29      5.21852181e-31
             6723.17         1.44298e-15         3.48037e-17   |         4.45909384e+14      2.17564380e-29      5.24750544e-31
             6725.92         1.38151e-15         3.39638e-17   |         4.45727066e+14      2.08466715e-29      5.12506013e-31
             6728.67         1.40527e-15         3.42753e-17   |         4.45544898e+14      2.12225482e-29      5.17629500e-31
             6731.42         1.39232e-15         3.42357e-17   |         4.45362879e+14      2.10441668e-29      5.17454163e-31
             6734.17         1.41148e-15         3.44948e-17   |         4.45181008e+14      2.13511945e-29      5.21796400e-31
             6736.92         1.43294e-15          3.4929e-17   |         4.44999286e+14      2.16935228e-29      5.28796081e-31
             6739.67         1.40215e-15         3.45149e-17   |         4.44817712e+14      2.12447212e-29      5.22953627e-31
             6742.42         1.39743e-15         3.44348e-17   |         4.44636286e+14      2.11904882e-29      5.22165850e-31
             6745.17         1.39535e-15         3.44352e-17   |         4.44455009e+14      2.11762108e-29      5.22597954e-31
             6747.92          1.4093e-15         3.47954e-17   |         4.44273878e+14      2.14053630e-29      5.28495117e-31
             6750.67         1.41597e-15          3.4812e-17   |         4.44092896e+14      2.15242043e-29      5.29178301e-31
             6753.42         1.40218e-15         3.46534e-17   |         4.43912061e+14      2.13319513e-29      5.27196680e-31
             6756.17         1.40463e-15         3.45871e-17   |         4.43731373e+14      2.13866308e-29      5.26616646e-31
             6758.92         1.37385e-15         3.44054e-17   |         4.43550832e+14      2.09350126e-29      5.24276654e-31
             6761.67         1.36723e-15          3.4416e-17   |         4.43370438e+14      2.08510926e-29      5.24865022e-31
             6764.42         1.35629e-15         3.42954e-17   |         4.43190191e+14      2.07010791e-29      5.23451318e-31
             6767.17          1.3582e-15         3.42703e-17   |         4.43010090e+14      2.07470902e-29      5.23493598e-31
             6769.92         1.35846e-15         3.43338e-17   |         4.42830135e+14      2.07679306e-29      5.24889931e-31
             6772.67         1.35882e-15         3.44927e-17   |         4.42650327e+14      2.07903144e-29      5.27747661e-31
             6775.42         1.37181e-15          3.4735e-17   |         4.42470665e+14      2.10061133e-29      5.31886592e-31
             6778.17         1.39957e-15         3.50293e-17   |         4.42291148e+14      2.14485943e-29      5.36828629e-31
             6780.92         1.41934e-15         3.52606e-17   |         4.42111777e+14      2.17692256e-29      5.40811895e-31
             6783.67         1.42441e-15         3.54566e-17   |         4.41932551e+14      2.18647107e-29      5.44259238e-31
             6786.42         1.39309e-15         3.51931e-17   |         4.41753471e+14      2.14012893e-29      5.40652589e-31
             6789.17         1.38345e-15         3.51041e-17   |         4.41574536e+14      2.12704232e-29      5.39722478e-31
             6791.92         1.37062e-15         3.49109e-17   |         4.41395745e+14      2.10902382e-29      5.37186963e-31
             6794.67         1.40835e-15         3.53693e-17   |         4.41217100e+14      2.16883559e-29      5.44681341e-31
             6797.42         1.37956e-15         3.52792e-17   |         4.41038598e+14      2.12621951e-29      5.43733679e-31
             6800.17         1.44643e-15         3.60209e-17   |         4.40860242e+14      2.23108572e-29      5.55614275e-31
             6802.92         1.43424e-15         3.58478e-17   |         4.40682029e+14      2.21407258e-29      5.53391560e-31
             6805.67          1.4347e-15         3.60406e-17   |         4.40503961e+14      2.21657366e-29      5.56817764e-31
             6808.42         1.43035e-15         3.61321e-17   |         4.40326036e+14      2.21163927e-29      5.58682640e-31
             6811.17         1.45325e-15         3.62654e-17   |         4.40148255e+14      2.24886335e-29      5.61196828e-31
             6813.92         1.44155e-15         3.60532e-17   |         4.39970618e+14      2.23255963e-29      5.58363697e-31
             6816.67         1.42213e-15         3.59264e-17   |         4.39793123e+14      2.20426159e-29      5.56849119e-31
             6819.42         1.39238e-15         3.56301e-17   |         4.39615772e+14      2.15989157e-29      5.52702227e-31
             6822.17         1.42999e-15         3.61231e-17   |         4.39438564e+14      2.22002247e-29      5.60801780e-31
             6824.92         1.48531e-15         3.70504e-17   |         4.39261499e+14      2.30776472e-29      5.75661688e-31
             6827.67         1.44491e-15          3.6884e-17   |         4.39084576e+14      2.24680373e-29      5.73538206e-31
             6830.42          1.4281e-15         3.69303e-17   |         4.38907796e+14      2.22245376e-29      5.74720845e-31
             6833.17          1.4395e-15         3.72471e-17   |         4.38731158e+14      2.24199901e-29      5.80117827e-31
             6835.92         1.42664e-15         3.69027e-17   |         4.38554663e+14      2.22375857e-29      5.75216561e-31
             6838.67          1.3643e-15         3.60406e-17   |         4.38378309e+14      2.12829816e-29      5.62230760e-31
             6841.42         1.33348e-15         3.55314e-17   |         4.38202097e+14      2.08189253e-29      5.54733152e-31
             6844.17         1.34087e-15         3.55745e-17   |         4.38026027e+14      2.09511346e-29      5.55852646e-31
             6846.92         1.37822e-15         3.59615e-17   |         4.37850098e+14      2.15520383e-29      5.62351168e-31
             6849.67         1.37655e-15         3.59273e-17   |         4.37674310e+14      2.15432184e-29      5.62267749e-31
             6852.42         1.40115e-15         3.63153e-17   |         4.37498663e+14      2.19458231e-29      5.68796453e-31
             6855.17         1.44116e-15         3.68266e-17   |         4.37323158e+14      2.25906098e-29      5.77267861e-31
             6857.92         1.44665e-15         3.70402e-17   |         4.37147793e+14      2.26948646e-29      5.81082034e-31
             6860.67         1.40141e-15         3.67072e-17   |         4.36972568e+14      2.20027806e-29      5.76319898e-31
             6863.42         1.34198e-15         3.63641e-17   |         4.36797484e+14      2.10865967e-29      5.71390862e-31
             6866.17         1.26567e-15         3.55039e-17   |         4.36622541e+14      1.99034740e-29      5.58321640e-31
             6868.92         1.13993e-15         3.35909e-17   |         4.36447737e+14      1.79404939e-29      5.28661705e-31
             6871.67         1.03665e-15         3.19286e-17   |         4.36273073e+14      1.63281145e-29      5.02902462e-31
             6874.42         1.12098e-15         3.30335e-17   |         4.36098549e+14      1.76705181e-29      5.20722101e-31
             6877.17         1.17039e-15         3.36252e-17   |         4.35924165e+14      1.84641542e-29      5.30473498e-31
             6879.92         1.23352e-15         3.47043e-17   |         4.35749920e+14      1.94756637e-29      5.47935402e-31
             6882.67         1.24833e-15         3.48256e-17   |         4.35575814e+14      1.97252537e-29      5.50290224e-31
             6885.42         1.27635e-15         3.53234e-17   |         4.35401848e+14      2.01841261e-29      5.58602234e-31
             6888.17         1.24099e-15         3.48303e-17   |         4.35228020e+14      1.96406244e-29      5.51244443e-31
             6890.92         1.15852e-15         3.37603e-17   |         4.35054331e+14      1.83500498e-29      5.34736721e-31
             6893.67           1.204e-15         3.43919e-17   |         4.34880780e+14      1.90856415e-29      5.45175643e-31
             6896.42         1.26588e-15         3.51543e-17   |         4.34707368e+14      2.00825677e-29      5.57705793e-31
             6899.17          1.2374e-15         3.49698e-17   |         4.34534095e+14      1.96464053e-29      5.55221323e-31
             6901.92         1.23134e-15         3.49192e-17   |         4.34360959e+14      1.95657782e-29      5.54860007e-31
             6904.67         1.29708e-15         3.58315e-17   |         4.34187961e+14      2.06268026e-29      5.69810094e-31
             6907.42         1.36982e-15         3.67557e-17   |         4.34015101e+14      2.18009052e-29      5.84972865e-31
             6910.17         1.28282e-15         3.55884e-17   |         4.33842379e+14      2.04325458e-29      5.66846178e-31
