#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
             4173.92         8.18868e-16         3.11332e-17   |         7.18251569e+14      4.75862451e-30      1.80921966e-31
             4176.67         8.23576e-16         3.10311e-17   |         7.17778659e+14      4.79229235e-30      1.80566339e-31
             4179.42         8.24973e-16         3.09495e-17   |         7.17306370e+14      4.80674479e-30      1.80328747e-31
             4182.17         8.42541e-16         3.10741e-17   |         7.16834703e+14      4.91556795e-30      1.81293077e-31
             4184.92         8.47069e-16         3.09807e-17   |         7.16363656e+14      4.94848667e-30      1.80985942e-31
             4187.67         8.21139e-16         3.04587e-17   |         7.15893227e+14      4.80331288e-30      1.78170402e-31
             4190.42         8.13192e-16         3.02384e-17   |         7.15423416e+14      4.76307589e-30      1.77114130e-31
             4193.17         8.09626e-16         3.01008e-17   |         7.14954221e+14      4.74841515e-30      1.76539655e-31
             4195.92          8.2175e-16         3.01009e-17   |         7.14485641e+14      4.82584542e-30      1.76771878e-31
             4198.67         8.66954e-16          3.0761e-17   |         7.14017675e+14      5.09798830e-30      1.80885281e-31
             4201.42         8.54733e-16         3.05048e-17   |         7.13550321e+14      5.03271068e-30      1.79613789e-31
             4204.17         8.12685e-16         2.97546e-17   |         7.13083579e+14      4.79139612e-30      1.75425995e-31
             4206.92         8.19534e-16         2.98647e-17   |         7.12617447e+14      4.83809931e-30      1.76305540e-31
             4209.67         7.93047e-16         2.93614e-17   |         7.12151924e+14      4.68785669e-30      1.73561007e-31
             4212.42         8.03965e-16         2.94456e-17   |         7.11687009e+14      4.75860625e-30      1.74286214e-31
             4215.17         8.15605e-16         2.95576e-17   |         7.11222700e+14      4.83380765e-30      1.75177632e-31
             4217.92         8.22909e-16         2.96123e-17   |         7.10758997e+14      4.88346168e-30      1.75730892e-31
             4220.67          8.3331e-16         2.96455e-17   |         7.10295899e+14      4.95163568e-30      1.76157391e-31
             4223.42         8.69842e-16         3.02021e-17   |         7.09833403e+14      5.17545115e-30      1.79698719e-31
             4226.17         8.29924e-16         2.96073e-17   |         7.09371509e+14      4.94437663e-30      1.76389214e-31
             4228.92         8.39458e-16          2.9665e-17   |         7.08910216e+14      5.00768736e-30      1.76963047e-31
             4231.67         8.11021e-16         2.91481e-17   |         7.08449522e+14      4.84434406e-30      1.74105757e-31
             4234.42         8.02724e-16          2.8942e-17   |         7.07989427e+14      4.80101881e-30      1.73099455e-31
             4237.17         8.21288e-16         2.91057e-17   |         7.07529929e+14      4.91843063e-30      1.74304710e-31
             4239.92         8.38351e-16         2.93752e-17   |         7.07071027e+14      5.02713452e-30      1.76147082e-31
             4242.67         8.30137e-16         2.92871e-17   |         7.06612720e+14      4.98433901e-30      1.75846680e-31
             4245.42         8.07439e-16         2.89589e-17   |         7.06155007e+14      4.85434167e-30      1.74101567e-31
             4248.17         8.11556e-16         2.89817e-17   |         7.05697886e+14      4.88541615e-30      1.74464443e-31
             4250.92         8.30761e-16         2.92128e-17   |         7.05241357e+14      5.00750348e-30      1.76083371e-31
             4253.67         8.14699e-16         2.89618e-17   |         7.04785418e+14      4.91704369e-30      1.74796380e-31
             4256.42         7.90049e-16         2.85538e-17   |         7.04330068e+14      4.77443817e-30      1.72556832e-31
             4259.17         7.88787e-16         2.84892e-17   |         7.03875307e+14      4.77297313e-30      1.72388980e-31
             4261.92         8.26205e-16         2.89462e-17   |         7.03421132e+14      5.00584849e-30      1.75380555e-31
             4264.67         8.07628e-16         2.85579e-17   |         7.02967543e+14      4.89961014e-30      1.73251270e-31
