#Wavelength     Flux   Variance  Subtracted Sky
#[Angstrom]   [Counts]     [Counts]    [Counts]
6246.89    682.119500    667.941200    109.878300
6251.20    675.440900    680.489400    115.300700
6255.51    699.249100    784.969400    159.934900
6259.82    710.967700    792.600900    164.908000
6264.13    697.847000    734.471200    139.191800
6268.44    724.312100    701.004400    111.008200
6272.75    699.510100    672.506100    102.788200
6277.06    684.101700    659.442200    104.475700
6281.37    698.189100    695.875600    115.709200
6285.68    759.937000    782.273300    142.977100
6290.00    775.149700    777.140700    138.309200
6294.31    667.096900    1041.030000    294.295700
6298.62    810.457400    1621.613000    575.994400
6302.93    843.279700    1419.410000    475.240100
6307.24    734.259600    882.604800    212.984000
6311.55    714.567000    697.360200    114.973200
6315.86    731.844200    686.125700    99.676830
6320.17    761.295000    731.637000    114.243500
6324.48    706.571400    745.386500    137.401800
6328.79    756.731600    793.893600    156.170200
6333.10    757.900300    749.923200    129.082500
6337.41    705.650300    659.543500    92.796840
6341.72    726.721400    675.884900    95.833290
6346.03    727.750600    692.695900    107.286600
6350.34    724.125800    716.746200    122.420200
6354.65    756.208500    768.904800    138.080000
6358.96    728.283600    882.112500    197.355200
6363.27    739.995800    970.569800    249.774300
6367.58    676.218900    760.091700    167.140800
6371.90    739.440500    677.945900    96.346950
6376.21    747.488000    680.731800    94.696170
6380.52    722.430400    692.070900    102.329400
6384.83    759.391800    726.034500    113.411600
6389.14    773.837300    696.608600    95.847340
6393.45    688.405000    630.970300    82.826920
6397.76    687.774400    624.032900    83.385900
6402.07    687.944500    628.925500    83.482720
6406.38    717.128600    637.616900    85.323730
6410.69    720.824900    649.975100    87.138660
6415.00    711.138400    658.006200    92.612250
6419.31    673.787700    645.261500    95.446370
6423.62    645.092500    603.162200    85.893470
6427.93    682.056800    617.476100    81.241550
6432.24    701.667700    627.967800    79.661580
6436.55    680.447800    613.809600    79.901140
6440.86    708.739800    631.007400    80.280530
6445.17    680.207800    615.943400    79.905450
6449.49    666.888400    619.595800    84.524530
