#Wavelength         Spectrum        Cont-Subtr-Spectrum           Error           Mask
#[Angstrom]  [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [1.0E-17 erg/s/cm^2/A] [Bit Array]
4152.41            44.071300            -2.786636               2.769478                0
4153.36            44.758300            -2.064888               2.769754                0
4154.32            42.942200            -3.880989               2.750556                0
4155.28            42.219100            -4.578369               2.787701                0
4156.23            44.957400            -1.806770               2.882347                0
4157.19            43.272700            -3.457504               2.894371                0
4158.15            43.212900            -3.481087               2.850079                0
4159.11            49.720200             3.026215               2.944579                0
4160.06            46.258800            -0.435184               2.885129                0
4161.02            49.180600             2.486614               2.924552                0
4161.98            50.669800             3.982246               2.931883                0
4162.94            47.485700             0.804283               2.877844                0
4163.90            43.247900            -3.396343               2.850936                0
4164.86            43.686600            -2.920444               2.884913                0
4165.82            46.276200            -0.293457               2.945856                0
4166.77            47.505700             0.973507               2.960200                0
4167.73            47.155900             0.662441               2.876355                0
4168.69            43.432700            -3.022816               2.759159                0
4169.65            42.890100            -3.526924               2.746755                0
4170.61            47.491800             1.114391               2.841781                0
4171.57            48.292800             1.954987               2.828235                0
4172.54            49.787300             3.489239               2.879896                0
4173.50            44.594400            -1.664448               2.823372                0
4174.46            40.751700            -5.467426               2.761862                0
4175.42            43.149600            -3.059029               2.748934                0
4176.38            45.898200            -0.310429               2.725170                0
4177.34            43.822600            -2.357960               2.699874                0
4178.30            41.071300            -5.072010               2.665426                0
4179.27            43.954000            -2.148308               2.686338                0
4180.23            50.900800             4.839375               2.787224                0
4181.19            51.038600             5.014664               2.789490                0
4182.15            48.938500             2.951736               2.788351                0
4183.12            48.584700             2.631432               2.794692                0
4184.08            47.895800             1.979153               2.762473                0
4185.04            46.503500             0.622448               2.742073                0
4186.01            50.545700             4.700409               2.793634                0
4186.97            50.644200             4.834641               2.808557                0
4187.94            46.346200             0.571495               2.752670                0
4188.90            49.379300             3.638336               2.791315                0
4189.86            48.830800             3.123524               2.830693                0
4190.83            47.790300             2.117218               2.799101                0
4191.79            48.412000             2.766026               2.734231                0
4192.76            47.568500             1.957500               2.693139                0
4193.73            46.004400             0.427570               2.645336                0
4194.69            44.677400            -0.880806               2.610530                0
4195.66            40.804800            -4.734459               2.589509                0
4196.62            41.723600            -3.800102               2.632819                0
4197.59            43.412900            -2.091736               2.671096                0
4198.56            43.788600            -1.682396               2.691910                0
4199.52            47.890200             2.437824               2.727785                0
4200.49            45.090300            -0.347195               2.645540                0
4201.46            44.952700            -0.499676               2.659151                0
4202.43            46.467800             1.030304               2.722230                0
4203.39            41.001800            -4.417614               2.634381                0
4204.36            46.631000             1.230213               2.634134                0
4205.33            47.469200             2.083801               2.630495                0
4206.30            45.449500             0.099514               2.627289                0
4207.27            47.625800             2.294987               2.657076                0
4208.24            49.041500             3.717239               2.684228                0
4209.20            47.420800             2.112446               2.689630                0
4210.17            44.794700            -0.494186               2.636596                0
4211.14            41.445900            -3.827778               2.553731                0
4212.11            48.128800             2.876404               2.709838            65536
4213.08            44.377800            -0.840446               2.683483                0
4214.05            48.959000             3.776028               2.811741                0
4215.02            48.047200             2.897583               2.815885                0
4215.99            46.875700             1.759129               2.772147                0
4216.97            47.556200             2.473621               2.709400                0
4217.94            45.295300             0.209011               2.604670                0
4218.91            42.193100            -2.859398               2.533440                0
4219.88            43.774300            -1.243118               2.557804                0
4220.85            46.438900             1.447754               2.639230                0
4221.82            43.703400            -1.250069               2.623768                0
4222.80            41.856100            -3.085217               2.609641                0
4223.77            41.838400            -3.081661               2.640840                0
4224.74            43.995100            -0.884014               2.639791                0
4225.71            48.087600             3.244907               2.669982                0
4226.69            44.178700            -0.663994               2.575814                0
4227.66            44.592600            -0.209366               2.542439                0
4228.63            43.947800            -0.854168               2.500149                0
4229.61            43.776300            -0.988213               2.512777                0
4230.58            44.944100             0.179588               2.549544                0
4231.56            46.124700             1.394505               2.590578                0
4232.53            48.456400             3.755920               2.666695                0
4233.50            43.242600            -1.419262               2.652651                0
4234.48            47.256200             2.614468               2.785418                0
4235.45            47.974800             3.351036               2.783475                0
4236.43            41.976400            -2.628059               2.647625                0
4237.41            46.372600             1.768143               2.680060                0
4238.38            46.231300             1.626842               2.837236                0
4239.36            44.777200             0.172741               2.928638                0
4240.33            46.489200             1.884743               2.933826                0
4241.31            48.637900             4.033443               2.921006                0
4242.29            47.756400             3.151943               3.341539                0
4243.26            45.786900             1.182442               3.306306                0
4244.24            47.218000             2.613541               4.386264                0
4245.22            45.547500             0.943043               4.530400                0
4246.20            47.325300             2.720840               3.811764                0
4247.17            46.747100             2.142643               2.647263                0
4248.15            42.974500            -1.629959               2.553056                0
4249.13            39.803100            -4.801357               2.448856                0
4250.11            36.232400            -8.372059               2.366614                0
4251.09            35.826400            -8.778057               2.382357                0
4252.07            39.300200            -5.323563               2.517136                0
4253.05            44.821400             0.175533               2.693686                0
4254.02            46.569800             1.951633               2.699687                0
4255.00            41.633300            -2.948383               2.517734                0
4255.98            42.933900            -1.609818               2.451400                0
4256.96            44.867300             0.323582               2.482016                0
4257.94            45.105600             0.599029               2.540044                0
4258.93            43.961100            -0.508057               2.581628                0
4259.91            45.457200             1.028984               2.626292                0
4260.89            45.297800             0.858681               2.593888                0
4261.87            42.194800            -2.244316               2.518860                0
4262.85            45.248400             0.809284               2.538521                0
4263.83            47.339400             2.904713               2.599490                0
4264.81            42.779300            -1.616230               2.584281                0
